station_id,uid,name,address,latitude,longitude,free_bikes,empty_slots,slots,renting,returning,last_updated,timestamp,capacity,bike_ratio,dock_ratio,imbalance,operational,status,recommended_action,priority_score,zone_id,zone,neighbor_bike_ratio,neighbor_imbalance,neighbor_critical_share,nearest_neighbor_km,isolation_score,local_pressure,station_risk_score,risk_band
sample-011,189,Hospital Nueva Fe,Hospital Nueva Fe administracion,39.444747,-0.377156,0,30,30,True,True,2026-05-21T01:11:46,2026-05-21T23:28:53Z,30,0.0,1.0,1.0,True,Sin bicis,Enviar bicicletas,95.0,3,Zona 3,0.6785087719298246,0.7903508771929825,0.75,1.328943599687421,0.7362012852879785,0.7661403508771929,88.2,crítico
sample-012,173,Avenida Pio Xii 34,Pio XII - Monestir de Poblet,39.484509,-0.394769,4,16,20,True,True,2026-05-21T01:11:56,2026-05-21T23:28:53Z,20,0.2,0.8,0.6,True,Desequilibrada,Monitorizar,31.0,1,Zona 1,0.55,0.5,0.5,0.36097660207475946,0.12665990068092153,0.5,35.9,moderado
sample-013,172,Avenida Pio Xii,Pio XII - Campanar,39.48143,-0.393436,2,18,20,True,True,2026-05-21T01:13:29,2026-05-21T23:28:53Z,20,0.1,0.9,0.8,True,Sin bicis,Enviar bicicletas,38.0,1,Zona 1,0.575,0.44999999999999996,0.25,0.36097660207475946,0.12665990068092153,0.32999999999999996,37.1,moderado
sample-014,32,Conde De Altea,Conde Altea - Almirante Cadarso,39.465974,-0.368338,1,18,20,True,True,2026-05-21T01:13:13,2026-05-21T23:28:53Z,20,0.05,0.9,0.9,True,Sin bicis,Enviar bicicletas,64.0,4,Zona 4,0.0,1.0,1.0,0.28936054678352774,0.08156234093975674,1.0,68.4,alto
sample-015,264,Avenida Del Cid Marconi,Av del Cid - Marconi,39.469128,-0.414523,12,8,20,True,True,2026-05-21T01:12:53,2026-05-21T23:28:53Z,20,0.6,0.4,0.19999999999999996,True,Equilibrada,Sin accion urgente,17.0,7,Zona 7,0.4083333333333333,0.3833333333333333,0.25,0.47364135955163966,0.19760636108530416,0.30333333333333334,20.9,bajo
sample-016,54,Paseo Alameda,Plaza de Europa,39.459746,-0.352781,7,13,20,True,True,2026-05-21T01:13:22,2026-05-21T23:28:53Z,20,0.35,0.65,0.30000000000000004,True,Desequilibrada,Monitorizar,20.5,2,Zona 2,0.6493421052631578,0.7986842105263157,0.75,0.44995383681941203,0.18269002050786348,0.7694736842105263,35.1,moderado
sample-017,273,Calle Moraira,Moraira - Alta del Mar,39.450273,-0.333363,10,0,15,True,True,2026-05-21T01:11:33,2026-05-21T23:28:53Z,15,0.6666666666666666,0.0,0.33333333333333326,True,Sin anclajes,Retirar bicicletas,64.2,2,Zona 2,0.7368421052631579,0.6236842105263157,0.5,1.7478625710686437,1.0,0.5494736842105263,63.7,alto
sample-018,222,Maestro Rodrigo,Maestro Rodrigo - Manuel de Falla,39.476861,-0.397373,10,10,20,True,True,2026-05-21T01:12:20,2026-05-21T23:28:53Z,20,0.5,0.5,0.0,True,Equilibrada,Sin accion urgente,10.0,1,Zona 1,0.475,0.6499999999999999,0.5,0.3828948551656579,0.14046210919644397,0.5599999999999999,21.2,bajo
sample-019,78,Avenida Aragon I,Aragon - Vicente Sancho Tello,39.469913,-0.358779,1,17,20,True,True,2026-05-21T01:15:15,2026-05-21T23:28:53Z,20,0.05,0.85,0.9,True,Sin bicis,Enviar bicicletas,64.0,4,Zona 4,0.00625,0.9875,1.0,0.2419939017046877,0.05173494961675165,0.995,67.9,alto
sample-020,61,Vicente Vidal,Vicent Vidal - Pintor Maella,39.461261,-0.347921,19,1,20,True,True,2026-05-21T01:12:00,2026-05-21T23:28:53Z,20,0.95,0.05,0.8999999999999999,True,Sin anclajes,Retirar bicicletas,64.0,2,Zona 2,0.27499999999999997,0.65,0.5,0.44995383681941203,0.18269002050786348,0.56,58.6,alto
sample-021,263,Padre Esteban Pernet,Padre Esteban Pernet - Casa Misericordia,39.467011,-0.409735,6,12,18,True,True,2026-05-21T01:11:38,2026-05-21T23:28:53Z,18,0.3333333333333333,0.6666666666666666,0.33333333333333337,True,Desequilibrada,Monitorizar,20.7,7,Zona 7,0.475,0.35,0.25,0.47364135955163966,0.19760636108530416,0.29,23.7,bajo
sample-022,235,Conde Torrefiel,Conde Torrefiel - Cecilio Pla,39.498013,-0.377294,14,1,15,True,True,2026-05-21T03:51:48,2026-05-21T23:28:53Z,15,0.9333333333333333,0.06666666666666667,0.8666666666666667,True,Sin anclajes,Retirar bicicletas,60.3,5,Zona 5,0.70625,0.7875000000000001,0.75,0.769098958609118,0.3836598468615183,0.765,63.8,alto
sample-023,229,Calle Aitana,Aitana - Florista,39.493072,-0.394897,2,14,16,True,True,2026-05-21T01:11:37,2026-05-21T23:28:53Z,16,0.125,0.875,0.75,True,Sin bicis,Enviar bicicletas,34.2,5,Zona 5,0.55,0.8,0.75,0.7219224155632815,0.35395216525661244,0.77,48.3,moderado
sample-024,184,Bombero Ramon Duart,Bombero Ramon Duart - Hermanos Maristas,39.45275,-0.365661,1,14,15,True,True,2026-05-21T01:13:29,2026-05-21T23:28:53Z,15,0.06666666666666667,0.9333333333333333,0.8666666666666667,True,Sin bicis,Enviar bicicletas,60.3,3,Zona 3,0.6618421052631579,0.8236842105263158,0.75,0.461097773686878,0.18970750222461824,0.7794736842105263,61.9,alto
sample-025,95,Avenida De Los Naranjos,Naranjos Magisterio,39.479803,-0.34621,0,32,33,True,True,2026-05-21T17:51:17,2026-05-21T23:28:53Z,33,0.0,0.9696969696969697,1.0,True,Sin bicis,Enviar bicicletas,96.5,6,Zona 6,0.31875,0.6125,0.75,0.4479817425894176,0.18144816716938075,0.695,80.6,crítico
sample-026,107,Campillo Alto Buey,Campillo de Altobuey,39.474824,-0.336499,9,1,15,True,True,2026-05-21T16:31:01,2026-05-21T23:28:53Z,15,0.6,0.06666666666666667,0.19999999999999996,True,Sin anclajes,Retirar bicicletas,37.0,6,Zona 6,0.41250000000000003,0.775,0.75,0.8917336377071865,0.46088449634093254,0.76,46.5,moderado
sample-027,140,Avenida Campanar,Campanar - Nicasio Benlloch,39.487972,-0.389691,18,1,20,True,True,2026-05-21T09:55:10,2026-05-21T23:28:53Z,20,0.9,0.05,0.8,True,Sin anclajes,Retirar bicicletas,60.5,5,Zona 5,0.35625,0.7875000000000001,0.75,0.5815356232364883,0.2655487796179846,0.765,62.0,alto
sample-028,42,Avenida De La Plata,Av de la Plata - Museo Fallero,39.458749,-0.358749,14,6,20,True,True,2026-05-21T01:12:37,2026-05-21T23:28:53Z,20,0.7,0.3,0.3999999999999999,True,Desequilibrada,Monitorizar,24.0,3,Zona 3,0.5785087719298245,0.7403508771929824,0.75,0.4563510454664707,0.18671842584189405,0.7461403508771929,37.3,moderado
sample-029,102,Avenida Ramon Llull,Ramon Llull - Serpis,39.475801,-0.346811,13,6,20,True,True,2026-05-21T10:25:57,2026-05-21T23:28:53Z,20,0.65,0.3,0.30000000000000004,True,Desequilibrada,Monitorizar,20.5,6,Zona 6,0.1625,0.775,1.0,0.4479817425894176,0.18144816716938075,0.91,38.6,moderado
sample-030,18,Colon Ii,Colon 20-22,39.468159,-0.37322,0,24,24,True,True,2026-05-21T01:13:26,2026-05-21T23:28:53Z,24,0.0,1.0,1.0,True,Sin bicis,Enviar bicicletas,92.0,4,Zona 4,0.2625,0.975,1.0,0.3134295813657192,0.09671892448193123,0.99,84.5,crítico
